"title","year","keyword"
"First-Pass Large Vocabulary Continuous Speech Recognition using
  Bi-Directional Recurrent DNNs",2014,"ai"
"Deep Speech: Scaling up end-to-end speech recognition",2014,"speech recognition"
"Deep Speech: Scaling up end-to-end speech recognition",2014,"deep learning"
"Deep Speech: Scaling up end-to-end speech recognition",2014,"rnn"
"Deep Speech: Scaling up end-to-end speech recognition",2014,"training "
"Deep Speech: Scaling up end-to-end speech recognition",2014,"data"
"Deep Speech: Scaling up end-to-end speech recognition",2014,"ai"
"Deep Speech: Scaling up end-to-end speech recognition",2014,"data"
"Deep Speech: Scaling up end-to-end speech recognition",2014,"ai"
"Deep Speech: Scaling up end-to-end speech recognition",2014,"deep speech"
"Deep Speech: Scaling up end-to-end speech recognition",2014,"deep speech"
