"title","author","genre","rating","img","numRater","type","price"
"Along the Cane River","Mary Jane Hathaway","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/81qUOaFL6WL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","94","Kindle Edition","0.99"
"It's Not Supposed to Be This Way","Lysa TerKeurst","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/81ThXlXJqgL._AC_UL200_SR200,200_.jpg","431","Hardcover","14.99"
"Choosing Happiness Even When Life Is Hard","Frank Minirth","Religion","4.2","https://images-na.ssl-images-amazon.com/images/I/714fzOuzTGL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","24","Kindle Edition","0.99"
"The Four Agreements","Don Miguel Ruiz","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/91Rp%2By1ePrL._AC_UL200_SR200,200_.jpg","7610","Paperback","7.49"
"The Total Money Makeover","Dave Ramsey","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/51ZnWl2H2aL._AC_UL200_SR200,200_.jpg","6227","Audible Audiobook"," Free with Audible trial"
"The Rock, the Road, and the Rabbi","Kathie Lee Gifford","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/91H8UCJ%2B2sL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","467","Kindle Edition","9.99"
"Once Upon a Prince (Royal Wedding Series Book 1)","Rachel Hauck","Religion","4.5","https://images-na.ssl-images-amazon.com/images/I/81VeX%2BtdI-L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","684","Kindle Edition","7.99"
"The Tattooist of Auschwitz","Heather Morris","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/91RRIs2ihuL._AC_UL200_SR200,200_.jpg","1291","Audible Audiobook"," Free with Audible trial"
"The Five Love Languages","Gary Chapman","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/51WwBKC6X%2BL._AC_UL200_SR200,200_.jpg","14160","Audible Audiobook"," Free with Audible trial"
"Girl, Wash Your Face","Rachel Hollis","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/91FStYY4sML.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","9513","Kindle Edition","12.99"
"The Life-Changing Magic of Tidying Up","Marie Kondo","Religion","4.4","https://images-na.ssl-images-amazon.com/images/I/A1Iou9K8hdL._AC_UL200_SR200,200_.jpg","13958","Audible Audiobook"," Free with Audible trial"
"The Power of Now","Eckhart Tolle","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/51e6i6sF9wL._AC_UL200_SR200,200_.jpg","5847","Audible Audiobook"," Free with Audible trial"
"The Tattooist of Auschwitz","Heather Morris","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/81XAhkfzn-L._AC_UL200_SR200,200_.jpg","1291","Paperback","10.19"
"Girl, Stop Apologizing","Rachel Hollis","Religion",NA,"https://images-na.ssl-images-amazon.com/images/I/91ILDdvFJ4L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg",NA,"Kindle Edition","12.99"
"Things I Never Told You (Thatcher Sisters)","Beth K. Vogt","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/A1Mvld-T4HL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","76","Kindle Edition","0.99"
"Attempt to Locate (Lantern Beach P.D. Book 2)","Christy Barritt","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/814EGMLQm1L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","31","Kindle Edition","0.99"
"The Total Money Makeover","Dave Ramsey","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/512RzrzTb0L._AC_UL200_SR200,200_.jpg","6227","Hardcover","16.19"
"The Four Agreements","don Miguel Ruiz","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/61hO0qr0lQL._AC_UL200_SR200,200_.jpg","7610","Audible Audiobook"," Free with Audible trial"
"Same Kind of Different As Me","Ron Hall","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/91lghxSydML._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","3170","Kindle Edition","9.99"
"The Complete Holy Bible - KJV","Topics Media Group","Religion","4.5","https://images-na.ssl-images-amazon.com/images/I/91OMNpY0wsL._AC_UL200_SR200,200_.jpg","1509","Audible Audiobook"," Free with Audible trial"
"Explosive Force (Military K-9 Unit)","Lynette Eason","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/91rGTm0zGDL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","21","Kindle Edition","0.99"
"When I Pray for You","Matthew Paul Turner","Religion","4.9","https://images-na.ssl-images-amazon.com/images/I/A1qZ9BL2LtL._AC_UL200_SR200,200_.jpg","136","Hardcover","8.13"
"Warrior of the Light","Paulo Coelho","Religion","4.3","https://images-na.ssl-images-amazon.com/images/I/81FAE5-Ui5L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","443","Kindle Edition","12.99"
"The 5 Love Languages","Gary Chapman","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/81fA-i7ednL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","14160","Kindle Edition","6.67"
"Justice Comes Home (The Texas Riders Western) (A Western Frontier Fiction)","Joseph Powell","Religion","4.3","https://images-na.ssl-images-amazon.com/images/I/A1SpgXhnecL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","47","Kindle Edition","0.99"
"It's Not Supposed to Be This Way","Lysa TerKeurst","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/81SEcvfK7QL._AC_UL200_SR200,200_.jpg","431","Audible Audiobook"," Free with Audible trial"
"Jesus Calling","Sarah Young","Religion","4.9","https://images-na.ssl-images-amazon.com/images/I/51CiLSg0gAL._AC_UL200_SR200,200_.jpg","17535","Hardcover","8.49"
"A Mother's Love","Charlotte Hubbard","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/91jZm3klE-L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","66","Kindle Edition","0.99"
"Consciousness Beyond Life","Pim van Lommel","Religion","4.5","https://images-na.ssl-images-amazon.com/images/I/41jtrAtXcFL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","178","Kindle Edition","1.99"
"The Gifts of Imperfection","Brené Brown","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/71aHmBv498L._AC_UL200_SR200,200_.jpg","3953","Paperback","11.42"
"The Lost Girls of Paris","Pam Jenoff","Religion","4.3","https://images-na.ssl-images-amazon.com/images/I/81pIX55W4mL._AC_UL200_SR200,200_.jpg","238","Paperback","10.19"
